first_name,last_name,payment_date,SUM(amount)
Jon,Stephens,2005-08-01 00:00:44,4.99
Mike,Hillyer,2005-08-01 00:08:01,11.98
Jon,Stephens,2005-08-01 00:09:33,4.99
Jon,Stephens,2005-08-01 00:12:11,0.99
Jon,Stephens,2005-08-01 00:12:36,0.99
Mike,Hillyer,2005-08-01 00:15:49,2.99
Jon,Stephens,2005-08-01 00:19:41,6.99
Mike,Hillyer,2005-08-01 00:25:00,4.99
Jon,Stephens,2005-08-01 00:27:53,4.99
Mike,Hillyer,2005-08-01 00:28:38,4.99
Jon,Stephens,2005-08-01 00:33:00,2.99
Mike,Hillyer,2005-08-01 00:33:27,2.99
Mike,Hillyer,2005-08-01 00:33:52,1.99
Jon,Stephens,2005-08-01 00:34:42,6.99
Mike,Hillyer,2005-08-01 00:34:51,2.99
Mike,Hillyer,2005-08-01 00:35:25,2.99
Mike,Hillyer,2005-08-01 00:36:15,2.99
Jon,Stephens,2005-08-01 00:38:55,2.99
Mike,Hillyer,2005-08-01 00:39:05,4.99
Mike,Hillyer,2005-08-01 00:42:18,0.99
Mike,Hillyer,2005-08-01 00:43:18,6.99
Mike,Hillyer,2005-08-01 00:45:27,4.99
Jon,Stephens,2005-08-01 00:47:39,4.99
Jon,Stephens,2005-08-01 00:48:24,4.99
Jon,Stephens,2005-08-01 00:52:40,7.99
Mike,Hillyer,2005-08-01 00:53:01,3.99
Jon,Stephens,2005-08-01 00:54:51,4.99
Jon,Stephens,2005-08-01 00:56:47,2.99
Mike,Hillyer,2005-08-01 00:58:52,7.99
Jon,Stephens,2005-08-01 01:01:16,3.99
Jon,Stephens,2005-08-01 01:01:35,2.99
Jon,Stephens,2005-08-01 01:03:18,8.99
Mike,Hillyer,2005-08-01 01:04:15,0.99
Jon,Stephens,2005-08-01 01:04:28,8.99
Jon,Stephens,2005-08-01 01:06:27,3.99
Mike,Hillyer,2005-08-01 01:07:27,4.99
Jon,Stephens,2005-08-01 01:09:44,0.99
Jon,Stephens,2005-08-01 01:10:33,5.99
Jon,Stephens,2005-08-01 01:13:22,4.99
Mike,Hillyer,2005-08-01 01:16:50,4.99
Jon,Stephens,2005-08-01 01:17:42,0.99
Jon,Stephens,2005-08-01 01:23:15,0.99
Jon,Stephens,2005-08-01 01:31:56,4.99
Mike,Hillyer,2005-08-01 01:38:40,0.99
Mike,Hillyer,2005-08-01 01:40:04,4.99
Mike,Hillyer,2005-08-01 01:42:22,2.99
Mike,Hillyer,2005-08-01 01:43:18,2.99
Jon,Stephens,2005-08-01 01:45:26,7.99
Mike,Hillyer,2005-08-01 01:49:36,2.99
Mike,Hillyer,2005-08-01 01:50:49,2.99
Jon,Stephens,2005-08-01 01:50:55,4.99
Mike,Hillyer,2005-08-01 01:54:23,6.99
Jon,Stephens,2005-08-01 01:56:20,3.99
Mike,Hillyer,2005-08-01 01:57:48,6.99
Mike,Hillyer,2005-08-01 02:05:34,0.99
Jon,Stephens,2005-08-01 02:07:32,5.99
Jon,Stephens,2005-08-01 02:08:05,0.99
Jon,Stephens,2005-08-01 02:09:22,0.99
Jon,Stephens,2005-08-01 02:09:33,0.99
Mike,Hillyer,2005-08-01 02:12:25,5.99
Mike,Hillyer,2005-08-01 02:18:12,4.99
Jon,Stephens,2005-08-01 02:18:46,4.99
Jon,Stephens,2005-08-01 02:20:01,4.99
Jon,Stephens,2005-08-01 02:24:09,0.99
Jon,Stephens,2005-08-01 02:29:50,1.99
Mike,Hillyer,2005-08-01 02:34:06,9.99
Jon,Stephens,2005-08-01 02:35:28,6.99
Jon,Stephens,2005-08-01 02:35:39,0.99
Jon,Stephens,2005-08-01 02:38:42,1.99
Mike,Hillyer,2005-08-01 02:39:12,4.99
Jon,Stephens,2005-08-01 02:39:39,8.99
Mike,Hillyer,2005-08-01 02:39:49,6.99
Mike,Hillyer,2005-08-01 02:42:03,3.99
Jon,Stephens,2005-08-01 02:46:13,4.99
Jon,Stephens,2005-08-01 02:47:11,4.99
Jon,Stephens,2005-08-01 02:49:43,0.99
Mike,Hillyer,2005-08-01 02:51:09,4.99
Jon,Stephens,2005-08-01 02:52:05,2.99
Mike,Hillyer,2005-08-01 02:58:07,2.99
Jon,Stephens,2005-08-01 02:58:27,4.99
Jon,Stephens,2005-08-01 03:01:26,4.99
Mike,Hillyer,2005-08-01 03:02:48,5.99
Jon,Stephens,2005-08-01 03:03:12,4.99
Jon,Stephens,2005-08-01 03:05:04,7.99
Mike,Hillyer,2005-08-01 03:05:59,0.99
Jon,Stephens,2005-08-01 03:07:26,0.99
Mike,Hillyer,2005-08-01 03:08:56,3.99
Jon,Stephens,2005-08-01 03:09:26,4.99
Jon,Stephens,2005-08-01 03:10:24,0.99
Mike,Hillyer,2005-08-01 03:13:39,2.99
Mike,Hillyer,2005-08-01 03:14:34,8.99
Jon,Stephens,2005-08-01 03:14:47,4.99
Mike,Hillyer,2005-08-01 03:16:51,0.99
Mike,Hillyer,2005-08-01 03:20:08,3.99
Jon,Stephens,2005-08-01 03:22:23,2.99
Mike,Hillyer,2005-08-01 03:22:41,2.99
Mike,Hillyer,2005-08-01 03:25:27,6.99
Mike,Hillyer,2005-08-01 03:26:44,1.99
Mike,Hillyer,2005-08-01 03:27:15,4.99
Jon,Stephens,2005-08-01 03:28:33,0.99
Mike,Hillyer,2005-08-01 03:29:10,6.99
Mike,Hillyer,2005-08-01 03:29:45,2.99
Jon,Stephens,2005-08-01 03:33:19,4.99
Jon,Stephens,2005-08-01 03:35:11,3.99
Jon,Stephens,2005-08-01 03:35:58,6.99
Mike,Hillyer,2005-08-01 03:37:01,3.99
Mike,Hillyer,2005-08-01 03:38:42,6.99
Jon,Stephens,2005-08-01 03:39:48,6.99
Jon,Stephens,2005-08-01 03:39:50,5.99
Jon,Stephens,2005-08-01 03:39:57,4.99
Mike,Hillyer,2005-08-01 03:42:40,2.99
Jon,Stephens,2005-08-01 03:44:26,1.99
Jon,Stephens,2005-08-01 03:48:12,6.99
Jon,Stephens,2005-08-01 03:53:49,8.99
Mike,Hillyer,2005-08-01 04:04:37,0.99
Jon,Stephens,2005-08-01 04:05:04,7.99
Mike,Hillyer,2005-08-01 04:06:03,0.99
Mike,Hillyer,2005-08-01 04:08:04,0.99
Jon,Stephens,2005-08-01 04:08:11,0.99
Jon,Stephens,2005-08-01 04:09:37,4.99
Mike,Hillyer,2005-08-01 04:12:08,0.99
Jon,Stephens,2005-08-01 04:13:33,4.99
Mike,Hillyer,2005-08-01 04:14:12,5.99
Mike,Hillyer,2005-08-01 04:16:16,2.99
Mike,Hillyer,2005-08-01 04:19:18,5.99
Mike,Hillyer,2005-08-01 04:21:54,0.99
Mike,Hillyer,2005-08-01 04:22:49,7.99
Jon,Stephens,2005-08-01 04:24:18,6.99
Jon,Stephens,2005-08-01 04:24:47,4.99
Mike,Hillyer,2005-08-01 04:27:59,4.99
Mike,Hillyer,2005-08-01 04:29:06,3.99
Mike,Hillyer,2005-08-01 04:29:29,0.99
Jon,Stephens,2005-08-01 04:31:18,0.99
